medication,strength,form,units,price
tegretol,100 mg,Chew Tablet,30,11
tegretol,100 mg,Chew Tablet,60,22
tegretol,100 mg,Chew Tablet,90,33
tegretol,100 mg,Chew Tablet,120,44
tegretol,100 mg,Chew Tablet,180,66
tegretol,100 mg/5 ml/450 ml,Suspension,1,67
tegretol,200 mg,Tablet,30,11
tegretol,200 mg,Tablet,60,21
tegretol,200 mg,Tablet,90,31
tegretol,200 mg,Tablet,120,41
tegretol,200 mg,Tablet,180,61
tegretol,200 mg,Tablet,270,92
fluocinolone-acetonide-dr-0-01-20ml,0.01%/20 ml,Solution Ear Drop,1,30
nature-throid,65mg,Tablet,30,9
nature-throid,65mg,Tablet,60,17
nature-throid,65mg,Tablet,90,25
nature-throid,32.5mg,Tablet,30,8
nature-throid,32.5mg,Tablet,60,15
nature-throid,32.5mg,Tablet,90,22
nature-throid,48.75mg,Tablet,30,9
nature-throid,48.75mg,Tablet,60,17
nature-throid,48.75mg,Tablet,90,25
nature-throid,97.5mg,Tablet,30,12
nature-throid,97.5mg,Tablet,60,23
nature-throid,97.5mg,Tablet,90,34
nature-throid,130mg,Tablet,30,14
nature-throid,130mg,Tablet,60,27
nature-throid,130mg,Tablet,90,40
azelastine-hcl-15-nasal-spray,0.15%/30 ml,Nasal Spray,1,36
azelastine-hcl-15-nasal-spray,0.15%/30 ml,Nasal Spray,3,70
cromolyn-sodium-drops,0.4%/10 ml,Solution Eye Drop,1,8
cromolyn-sodium-drops,0.4%/10 ml,Solution Eye Drop,3,22
lamivudine-zidovudine-combivir,150mg/300mg,Tablet,30,58
lamivudine-zidovudine-combivir,150mg/300mg,Tablet,60,116
lamivudine-zidovudine-combivir,150mg/300mg,Tablet,90,170
solifenacin-succinate-vesicare,5 mg,Tablet,30,19
solifenacin-succinate-vesicare,5 mg,Tablet,60,37
solifenacin-succinate-vesicare,5 mg,Tablet,90,54
solifenacin-succinate-vesicare,5 mg,Tablet,15,10
