,Unnamed: 0,gcn,med_id,gcn_seqno,pharmacy_network_id,pharmacy_network_name,in_consideration,in_consideration_reason,fills,margin,orders,revenue,users,gcn_gppd,hicl_desc,brand_med_name,strength,form,default_quantity,blink_hicl_rank,top_30ds_quantity,top_90ds_quantity,edlp_unit_price,bsd_unit_price,hd_unit_price,edlp_fixed_price,bsd_fixed_price,hd_fixed_price,bh01_mac_price,bh02_mac_price,bh03_mac_price,wmt_mac_price,hd_syr_mac_price,bh01_dispensing_fee,bh02_dispensing_fee,bh03_dispensing_fee,wmt_dispensing_fee,hd_syr_dispensing_fee,wmt_2018_11_28_qty1,wmt_2018_11_28_qty2,wmt_2018_11_28_price1,wmt_2018_11_28_price2,wmt_2018_11_28_flg,last_30ds_qty,last_90ds_qty,min_grx_30ds,min_grx_90ds,min_major_retail_grx_30ds,min_major_retail_grx_90ds,min_retail_grx_30ds,min_retail_grx_90ds,last_30ds_qty_scrape_date,ltd_30_day_scripts,ltd_90_day_scripts,ltd_30_day_scripts_pct,ltd_90_day_scripts_pct,r30_30_day_scripts,r30_90_day_scripts,r30_30_day_script_pct,r30_90_day_script_pct,output_unit_price,output_fixed_price,output_current_def_qty_price,output_new_def_qty_price,output_comment
0,0,23162,471239,57892,1,blink,True,,445,-391.92259,445,8029.667409999999,311,23162.0,duloxetine hcl,Cymbalta,30 MG,CAPSULE DR,30.0,6.0,30.0,90.0,0.25,0.25,0.23333299999999998,1.4,1.4,0.99,0.22415,0.21436999999999998,0.18600000000000003,0.46338,0.15084,1.0,1.0,1.0,1.0,1.5,30.0,90.0,9.0,24.0,1.0,30.0,90.0,12.7,21.85,15.0,38.0,15.0,38.0,2019-12-24,20394.0,3000.0,0.8717619902539109,0.128238009746089,327.0,95.0,0.774881516587678,0.774881516587678,0.25,1.5,8.9,9.0,WMT 4/10|9/24 Drug; Raising to WMT Prices
1,1,15738,556806,64594,2,supersaver,True,,3,-428.77167000000003,3,312.10832999999997,2,15738.0,ropinirole hcl,Requip XL,12 MG,TAB ER 24H,30.0,87.0,30.0,90.0,8.556687,2.073305,7.796667,1.504804,0.37086199999999997,12.3,5.14166,4.91228,4.26001,10.57479,3.44231,1.0,1.0,1.0,1.0,1.5,,,,,,30.0,90.0,76.12,212.36,76.12,212.36,76.12,212.36,2019-12-24,6.0,2.0,0.75,0.25,0.0,0.0,0.0,0.0,5.14166,1.0,62.570012,155.2498,NON-WMT Drug; Margin -VE; Raising to MAC Prices
2,2,35744,173420,8350,1,blink,True,,267,-362.54046,267,2710.24954,226,35744.0,ibuprofen,Motrin,800 MG,TABLET,30.0,69.0,90.0,270.0,0.12975,0.082634,0.098333,1.607515,1.242901,2.85,0.14579,0.13669,0.11735,0.27114,0.08826,1.0,1.0,1.0,1.0,1.5,,,,,,,,,,,,,,,8494.0,304.0,0.9654466924300981,0.0345533075699022,203.0,11.0,0.9485981308411221,0.9485981308411221,0.17773550000000002,1.0,5.500015,6.332065000000001,NON-WMT Drug; Margin -VE; Raising to MAC Prices
3,3,35744,173420,8350,2,supersaver,True,,115,-560.7389400000001,115,867.55106,99,35744.0,ibuprofen,Motrin,800 MG,TABLET,30.0,69.0,90.0,270.0,0.12975,0.082634,0.098333,1.607515,1.242901,2.85,0.14579,0.13669,0.11735,0.27114,0.08826,1.0,1.0,1.0,1.0,1.5,,,,,,,,,,,,,,,8494.0,304.0,0.9654466924300981,0.0345533075699022,203.0,11.0,0.9485981308411221,0.9485981308411221,0.14579,1.0,3.721921,5.3737,NON-WMT Drug; Margin -VE; Raising to MAC Prices
4,4,32481,284012,11984,2,supersaver,True,,7,-312.46469,7,122.59531000000001,5,32481.0,guanfacine hcl,Tenex,2 MG,TABLET,30.0,157.0,30.0,135.0,0.300126,0.255849,,1.886216,1.614426,,1.06714,1.02336,0.8892200000000001,2.23698,0.72818,1.0,1.0,1.0,1.0,1.5,,,,,,,,,,,,,,,206.0,27.0,0.8841201716738201,0.11587982832618,8.0,2.0,0.8,0.8,1.06714,1.0,9.289895999999999,33.0142,NON-WMT Drug; Margin -VE; Raising to MAC Prices
5,5,32481,284012,11984,1,blink,True,,17,-566.22921,17,234.65079,9,32481.0,guanfacine hcl,Tenex,2 MG,TABLET,30.0,157.0,30.0,135.0,0.300126,0.255849,,1.886216,1.614426,,1.06714,1.02336,0.8892200000000001,2.23698,0.72818,1.0,1.0,1.0,1.0,1.5,,,,,,,,,,,,,,,206.0,27.0,0.8841201716738201,0.11587982832618,8.0,2.0,0.8,0.8,1.3836725,1.0,10.889996,42.510175000000004,NON-WMT Drug; Margin -VE; Raising to MAC Prices
6,6,39802,237854,9043,1,blink,True,,158,-305.2474,158,1080.7726,155,39802.0,cephalexin,Keflex,500 MG,CAPSULE,40.0,85.0,30.0,90.0,0.243106,0.094042,,0.025671,0.828335,,0.20506999999999997,0.18464,0.15547,0.4074,0.0858,1.0,1.0,1.0,1.0,1.5,,,,,,,,,,,,,,,7815.0,31.0,0.99604894213612,0.00395105786387968,153.0,0.0,1.0,1.0,0.25555675,1.0,9.749911,11.22227,NON-WMT Drug; Margin -VE; Raising to MAC Prices
7,7,39802,180704,9043,1,blink,True,,223,-485.55667,223,1415.25333,215,39802.0,cephalexin,Keflex,500 MG,CAPSULE,40.0,85.0,30.0,90.0,0.243106,0.094042,,0.025671,0.828335,,0.20506999999999997,0.18464,0.15547,0.4074,0.0858,1.0,1.0,1.0,1.0,1.5,,,,,,,,,,,,,,,7815.0,31.0,0.99604894213612,0.00395105786387968,153.0,0.0,1.0,1.0,0.25555675,1.0,9.749911,11.22227,NON-WMT Drug; Margin -VE; Raising to MAC Prices
8,8,23832,247613,40911,1,blink,True,,111,-692.235,111,3214.325,74,23832.0,telmisartan,Micardis,80 MG,TABLET,30.0,151.0,30.0,90.0,0.445,0.445,,7.65,7.65,,0.56771,0.5431,0.47131999999999996,1.17553,0.38266,1.0,1.0,1.0,1.0,1.5,,,,,,30.0,90.0,20.77,45.52,35.17,70.98,35.17,70.98,2019-12-24,1307.0,482.0,0.7305757406372281,0.269424259362772,36.0,16.0,0.6923076923076921,0.6923076923076921,0.731342,1.0,21.0,22.940260000000002,NON-WMT Drug; Margin -VE; Raising to MAC Prices
9,9,39182,586784,74511,1,blink,True,,1,-640.3614,1,476.1586,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON-WMT Drug; Margin -VE; Raising to MAC Prices
