,gcn,med_id,gcn_seqno,pharmacy_network_id,pharmacy_network_name,in_consideration,in_consideration_reason,fills,margin,orders,revenue,users,gcn_gppd,hicl_desc,brand_med_name,strength,form,default_quantity,blink_hicl_rank,top_30ds_quantity,top_90ds_quantity,edlp_unit_price,bsd_unit_price,hd_unit_price,edlp_fixed_price,bsd_fixed_price,hd_fixed_price,bh01_mac_price,bh02_mac_price,bh03_mac_price,wmt_mac_price,hd_syr_mac_price,bh01_dispensing_fee,bh02_dispensing_fee,bh03_dispensing_fee,wmt_dispensing_fee,hd_syr_dispensing_fee,wmt_2018_11_28_qty1,wmt_2018_11_28_qty2,wmt_2018_11_28_price1,wmt_2018_11_28_price2,wmt_2018_11_28_flg,last_30ds_qty,last_90ds_qty,min_grx_30ds,min_grx_90ds,min_major_retail_grx_30ds,min_major_retail_grx_90ds,min_retail_grx_30ds,min_retail_grx_90ds,last_30ds_qty_scrape_date,ltd_30_day_scripts,ltd_90_day_scripts,ltd_30_day_scripts_pct,ltd_90_day_scripts_pct,r30_30_day_scripts,r30_90_day_scripts,r30_30_day_script_pct,r30_90_day_script_pct,output_unit_price,output_fixed_price,output_current_def_qty_price,output_new_def_qty_price,output_comment
0,39802,180704,9043,1,blink,True,N/A,222,-456.11589,222,1404.77411,214,39802.0,cephalexin,Keflex,500 MG,CAPSULE,40.0,85.0,30.0,90.0,0.243106,0.094042,,0.025671,0.828335,,0.20507,0.18464,0.15547,0.4074,0.0858,1.0,1.0,1.0,1.0,1.5,,,,,,,,,,,,,,,7850.0,31.0,0.996066489024236,0.0039335109757645,147.0,0.0,1.0,1.0,0.25555675,1.0,9.749911,11.22227,NON-WMT Drug; Margin -VE; Raising to MAC Prices
1,23832,247613,40911,1,blink,True,N/A,113,-843.035,113,3281.275,73,23832.0,telmisartan,Micardis,80 MG,TABLET,30.0,151.0,30.0,90.0,0.445,0.445,0.405,7.65,7.65,2.85,0.56771,0.5431,0.47132,1.17553,0.38266,1.0,1.0,1.0,1.0,1.5,,,,,,30.0,90.0,15.99,31.96,33.33,65.98,15.99,31.96,2020-01-03,1310.0,485.0,0.729805013927577,0.270194986072423,34.0,17.0,0.666666666666667,0.666666666666667,0.731342,1.0,21.0,22.940260000000002,NON-WMT Drug; Margin -VE; Raising to MAC Prices
2,10772,271418,21411,1,blink,False,Last Started Date : 2019-12-20,101,-634.4081,101,668.0219,75,10772.0,estradiol,Estrace,0.5 MG,TABLET,30.0,82.0,30.0,90.0,0.2431,0.1917,0.139,1.1078,1.2,3.2798,0.184360730593607,0.17445,0.153118811881188,0.3425,0.12021875,1.0,1.0,1.0,1.0,1.5,30.0,90.0,4.0,10.0,1.0,30.0,90.0,4.0,7.5,8.02,16.06,4.0,7.5,2020-01-03,1345.0,923.0,0.593033509700176,0.406966490299824,41.0,32.0,0.561643835616438,0.561643835616438,0.2431,1.1078,8.4008,8.4008,No Change
3,10772,271418,21411,3,delivery,False,Last Started Date : 2019-12-20,94,-307.5078,94,592.3522,70,10772.0,estradiol,Estrace,0.5 MG,TABLET,30.0,82.0,30.0,90.0,0.2431,0.1917,0.139,1.1078,1.2,3.2798,0.184360730593607,0.17445,0.153118811881188,0.3425,0.12021875,1.0,1.0,1.0,1.0,1.5,30.0,90.0,4.0,10.0,1.0,30.0,90.0,4.0,7.5,8.02,16.06,4.0,7.5,2020-01-03,1345.0,923.0,0.593033509700176,0.406966490299824,41.0,32.0,0.561643835616438,0.561643835616438,0.139,3.2798,7.4498,7.4498,No Change
4,16517,174219,46048,2,supersaver,True,N/A,27,-974.88949,27,196.85051,17,16517.0,amitriptyline hcl,Elavil,75 MG,TABLET,30.0,93.0,30.0,90.0,0.945904,0.115897,0.691667,2.165892,0.272976,2.95,0.68233,0.65392,0.56803,0.10333,0.46413,1.0,1.0,1.0,1.0,1.5,30.0,90.0,4.0,10.0,1.0,30.0,90.0,3.77,10.0,3.77,10.0,3.77,10.0,2020-01-03,343.0,89.0,0.793981481481482,0.206018518518519,9.0,2.0,0.818181818181818,0.818181818181818,0.1,1.0,3.749886,4.0,WMT 4/10|9/24 Drug; Raising to WMT Prices
5,26326,241772,6653,2,supersaver,False,Last Started Date : 2019-12-12,163,-5043.44729,163,1579.71271,130,26326.0,levothyroxine sodium,Synthroid,125 MCG,TABLET,90.0,29.0,30.0,90.0,0.638286,0.38125,0.608333,1.663927,0.6775,3.05,0.60245,0.57533,0.49882,0.10333,0.40246,1.0,1.0,1.0,1.0,1.5,30.0,90.0,4.0,10.0,1.0,30.0,90.0,4.0,10.0,4.0,10.0,4.0,10.0,2020-01-03,1763.0,1375.0,0.561822817080943,0.438177182919057,46.0,42.0,0.522727272727273,0.522727272727273,0.38125,0.6775,34.99,34.99,No Change
6,26326,183683,6653,2,supersaver,False,Last Started Date : 2019-12-12,25,-784.14474,25,380.58526,22,26326.0,levothyroxine sodium,Synthroid,125 MCG,TABLET,90.0,29.0,30.0,90.0,0.638286,0.38125,0.608333,1.663927,0.6775,3.05,0.60245,0.57533,0.49882,0.10333,0.40246,1.0,1.0,1.0,1.0,1.5,30.0,90.0,4.0,10.0,1.0,30.0,90.0,4.0,10.0,4.0,10.0,4.0,10.0,2020-01-03,1763.0,1375.0,0.561822817080943,0.438177182919057,46.0,42.0,0.522727272727273,0.522727272727273,0.38125,0.6775,34.99,34.99,No Change
7,45061,206181,21139,1,blink,True,N/A,28,-584.43848,28,550.89152,19,45061.0,bisoprolol/hydrochlorothiazide,Ziac,2.5-6.25MG,TABLET,30.0,176.0,30.0,90.0,0.265464,,,2.893582,,,0.6017,0.57455,0.49812,1.23409,0.40172,1.0,1.0,1.0,1.0,1.5,,,,,,30.0,90.0,4.0,10.0,17.9,43.25,9.43,18.64,2020-01-03,132.0,117.0,0.530120481927711,0.469879518072289,6.0,5.0,0.545454545454545,0.545454545454545,0.77125425,1.0,10.857501999999998,24.1376275,NON-WMT Drug; Margin -VE; Raising to MAC Prices
8,16515,223886,46046,2,supersaver,True,N/A,96,-698.27677,96,806.84323,69,16515.0,amitriptyline hcl,Elavil,25 MG,TABLET,30.0,93.0,30.0,90.0,0.428637,0.102843,0.21,2.688193,0.664607,2.6,0.18784,0.17972,0.15598,0.10333,0.12671,1.0,1.0,1.0,1.0,1.5,30.0,90.0,4.0,10.0,1.0,30.0,90.0,3.86,7.5,3.86,7.5,3.86,7.5,2020-01-03,2211.0,469.0,0.825,0.175,58.0,22.0,0.725,0.725,0.1,1.0,3.749897,4.0,WMT 4/10|9/24 Drug; Raising to WMT Prices
9,32480,251749,364,1,blink,True,N/A,15,-591.60995,15,208.82005,12,32480.0,guanfacine hcl,Tenex,1 MG,TABLET,30.0,157.0,30.0,90.0,0.192768,0.088108,,2.355255,1.096754,,0.72539,0.69219,0.59989,1.48261,0.48262,1.0,1.0,1.0,1.0,1.5,,,,,,30.0,90.0,4.0,10.0,11.78,22.84,10.52,10.02,2020-01-03,402.0,64.0,0.862660944206009,0.137339055793991,12.0,1.0,0.923076923076923,0.923076923076923,0.9281035,1.0,8.138295,28.843104999999998,NON-WMT Drug; Margin -VE; Raising to MAC Prices
