goodrx_default_quantity,goodrx_dosage,goodrx_drug_id,goodrx_form_name,goodrx_slug,mapping_source,description,dosage_form,strength,billing_unit,gcn,gcn_seqno,medid,with_modified_retail_package
30,6.12mg-325mg,44079,tablet,apadaz,manual,benzhydrocodone 6.12 mg-acetaminophen 325 mg tablet,tablet,6.12-325,each,44508,78222,595702,f
30,6.12mg-325mg,44079,tablet,benzhydrocodone-acetaminophen,manual,benzhydrocodone 6.12 mg-acetaminophen 325 mg tablet,tablet,6.12-325,each,44508,78222,595702,f
1,10ml-of-500mg,36514,vial,cytovene,manual,ganciclovir sodium 50 mg/mL intravenous solution,solution,50,milliliters,44623,78313,596010,f
1,45g-of-1%25,34564,tube-of-cream,clotrimazole,gcn_expansion,Antifungal Ringworm 1 % topical cream,cream,1,grams,30370,7361,596180,f
1,45g-of-1%25,34564,tube-of-cream,mycelex,gcn_expansion,Antifungal Ringworm 1 % topical cream,cream,1,grams,30370,7361,596180,f
30,5mg,43404,tablet,baclofen,manual,baclofen 5 mg tablet,tablet,5,each,18012,27229,596229,f
1,10ml-of-2%25-0.5%25,35490,eye-dropper,cosopt,manual,dorzolamide 2 %-timolol 0.5 % (PF) eye drops,drops,2-0.5,milliliters,44825,78488,596472,f
1,10ml-of-2%25-0.5%25,35490,eye-dropper,dorzolamide-timolol,manual,dorzolamide 2 %-timolol 0.5 % (PF) eye drops,drops,2-0.5,milliliters,44825,78488,596472,f
60,25mg,1516,tablet,lamictal,manual,Subvenite 25 mg tablet,tablet,25,each,64317,17872,596473,f
60,25mg,1516,tablet,lamictal,manual,Subvenite 25 mg tablet,tablet,25,each,64317,17872,596473,f
30,100mg,4862,tablet,lamictal,gcn_expansion,Subvenite 100 mg tablet,tablet,100,each,64316,17871,596474,f
30,100mg,4862,tablet,lamictal,gcn_expansion,Subvenite 100 mg tablet,tablet,100,each,64316,17871,596474,f
