default_quantity,dosage,drug_id,form_name,slug
30.0,100mg,29854,tablet,chlorpromazine
5.0,2ml-of-25mg-ml,33762,ampule,chlorpromazine
5.0,1ml-of-25mg-ml,33761,ampule,chlorpromazine
30.0,50mg,625,tablet,chlorpromazine
30.0,25mg,624,tablet,chlorpromazine
30.0,200mg,27655,tablet,chlorpromazine
30.0,10mg,800,tablet,chlorpromazine
30.0,25mg,1396,tablet,cozaar
90.0,50mg,30016,tablet,cozaar
90.0,100mg,28467,tablet,cozaar
1.0,100ml-of-100mg-5ml,36609,bottle-of-oral-suspension,cefpodoxime
1.0,100ml-of-50mg-5ml,36612,bottle-of-oral-suspension,cefpodoxime
1,50ml-of-100mg-5ml,36610,bottle-of-oral-suspension,cefpodoxime
14.0,200mg,4171,tablet,cefpodoxime
1,50ml-of-50mg-5ml,36613,bottle-of-oral-suspension,cefpodoxime
14.0,100mg,29850,tablet,cefpodoxime
30.0,300mg,284,tablet,laniazid
660.0,50mg-5ml,31844,oral-solution,laniazid
90.0,100mg,7743,tablet,laniazid
120.0,60mg,36138,tablet,codeine
90.0,30mg,7608,tablet,codeine
30.0,15mg,7555,tablet,codeine
30.0,250mg,7461,tablet,chloroquine-phosphate
8.0,500mg,8650,tablet,chloroquine-phosphate
12.0,0.75mg,60,tablet,decadron
30.0,0.5mg,59,tablet,decadron
240.0,0.5mg-5ml,6773,oral-solution,decadron
1.0,5ml-of-0.1%25,35484,eye-dropper,decadron
237.0,0.5mg-5ml,34367,elixir,decadron
1.0,1mg,4415,tablet,decadron
5.0,2mg,4416,tablet,decadron
10.0,4mg,61,tablet,decadron
2.0,6mg,7307,tablet,decadron
12.0,1.5mg,876,tablet,decadron
1.0,5ml-of-0.01%25,27826,nasal-spray,ddavp
30.0,0.1mg,27824,tablet,ddavp
90.0,0.2mg,27825,tablet,ddavp
1.0,10ml-of-4mcg-ml,33741,vial,ddavp
11,1ml-of-4mcg-ml,33492,vial,ddavp
1,2.5ml-of-0.01%25,33983,nasal-spray,ddavp
30.0,12.5mg,29962,tablet,microzide
90.0,12.5mg,181,capsule,microzide
90.0,50mg,183,tablet,microzide
90.0,25mg,1238,tablet,microzide
60.0,5mg,29141,tablet,eldepryl
60.0,5mg,30176,capsule,eldepryl
1.0,60ml-of-2%25,38647,bottle-of-topical-solution,women-s-rogaine
1.0,60g-of-5%25,38649,can-of-foam,women-s-rogaine
1.0,60ml-of-5%25,38648,bottle-of-topical-solution,women-s-rogaine
30.0,20mg,199,tablet,corgard
30.0,80mg,718,tablet,corgard
30.0,40mg,200,tablet,corgard
1.0,28-tablets,37683,package,dasetta-7-7-7
1.0,28-tablets,34337,package,dasetta-7-7-7
1.0,28-tablets,36444,package,dasetta-7-7-7
1.0,28-tablets,38241,package,dasetta-7-7-7
1.0,28-tablets,32237,package,dasetta-7-7-7
1.0,28-tablets,30086,package,dasetta-7-7-7
60.0,75mg,7122,capsule,indomethacin-er
1.0,50g-of-1%25,35023,can-of-foam,evoclin
1.0,100g-of-1%25,35022,can-of-foam,evoclin
1,5ml-of-50mg-ml,33732,ampule,sandimmune
30.0,100mg,27791,capsule,sandimmune
30.0,25mg,8652,capsule,sandimmune
1.0,30g-of-1%25,44028,tube-of-cream,elidel
1.0,100g-of-1%25,44030,tube-of-cream,elidel
1.0,60g-of-1%25,44029,tube-of-cream,elidel
60.0,200mg,5133,tablet,nefazodone
60.0,250mg,5134,tablet,nefazodone
30.0,50mg,30088,tablet,nefazodone
60.0,150mg,13238,tablet,nefazodone
60.0,100mg,30087,tablet,nefazodone
30,1.34mg,39765,tablet,clemastine-non-prescription
30.0,150mg,36231,tablet,doryx
30.0,200mg,42235,tablet,doryx
30.0,50mg,42377,tablet,doryx
30.0,75mg,33495,tablet,doryx
20.0,100mg,33935,tablet,doryx
1.0,59ml-of-0.75%25,34702,bottle-of-lotion,metrolotion
30.0,70mg-1mg,30074,tablet,chromagen-fa
30.0,3mg,39939,tablet,melatonin
30.0,5mg,39938,tablet,melatonin
90.0,0.75mg,867,tablet,ogen
30.0,3mg,22021,tablet,ogen
30.0,1.5mg,868,tablet,ogen
30.0,450mg,43498,tablet,forfivo-xl
